Accession			Taxon name			ITS1 localization			Sequence description
FJ878660			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 8744 isolate ISHAM-ITS_ID MITS141 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878661			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 8376 isolate ISHAM-ITS_ID MITS136 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878661			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 8376 isolate ISHAM-ITS_ID MITS136 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878662			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 8783 isolate ISHAM-ITS_ID MITS143 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878662			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 8783 isolate ISHAM-ITS_ID MITS143 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878663			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 9017 isolate ISHAM-ITS_ID MITS146 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878663			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 9017 isolate ISHAM-ITS_ID MITS146 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878664			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 8680 isolate ISHAM-ITS_ID MITS138 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878664			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 8680 isolate ISHAM-ITS_ID MITS138 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878665			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 8708 isolate ISHAM-ITS_ID MITS139 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878665			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 8708 isolate ISHAM-ITS_ID MITS139 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878666			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 8710 isolate ISHAM-ITS_ID MITS140 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878666			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 8710 isolate ISHAM-ITS_ID MITS140 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878667			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 8664 isolate ISHAM-ITS_ID MITS137 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878667			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 8664 isolate ISHAM-ITS_ID MITS137 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878668			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 7954 isolate ISHAM-ITS_ID MITS134 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878668			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 7954 isolate ISHAM-ITS_ID MITS134 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878669			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 9193 isolate ISHAM-ITS_ID MITS148 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878669			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 9193 isolate ISHAM-ITS_ID MITS148 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878670			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 9188A1 isolate ISHAM-ITS_ID MITS147 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878670			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 9188A1 isolate ISHAM-ITS_ID MITS147 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878671			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 10015 isolate ISHAM-ITS_ID MITS122 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878671			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 10015 isolate ISHAM-ITS_ID MITS122 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878672			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 10018 isolate ISHAM-ITS_ID MITS125 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878672			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 10018 isolate ISHAM-ITS_ID MITS125 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878673			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 10469 isolate ISHAM-ITS_ID MITS128 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878673			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 10469 isolate ISHAM-ITS_ID MITS128 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878674			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 8749 isolate ISHAM-ITS_ID MITS142 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878674			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 8749 isolate ISHAM-ITS_ID MITS142 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878679			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 10016 isolate ISHAM-ITS_ID MITS123 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878679			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 10016 isolate ISHAM-ITS_ID MITS123 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878680			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 8374A isolate ISHAM-ITS_ID MITS135 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878680			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 8374A isolate ISHAM-ITS_ID MITS135 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878681			Aspergillus flavus			ENA			Aspergillus flavus strain UOA/HCPF 5774 isolate ISHAM-ITS_ID MITS133 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ878681			Aspergillus flavus			HMM			Aspergillus flavus strain UOA/HCPF 5774 isolate ISHAM-ITS_ID MITS133 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FJ969193			Aspergillus flavus			HMM			Aspergillus flavus strain UAF-138 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
FR733815			Aspergillus flavus			ENA			Aspergillus flavus 18S rRNA gene (partial), ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene (partial), culture collection CCF<CZE>:3989i
FR733816			Aspergillus flavus			ENA			Aspergillus flavus ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene (partial), culture collection CCF<CZE>:1288i
FR733818			Aspergillus flavus			ENA			Aspergillus flavus ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene (partial), culture collection CCF<CZE>:4035i
FR733822			Aspergillus flavus			ENA			Aspergillus flavus 18S rRNA gene (partial), ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene (partial), culture collection CCF<CZE>:4074i
GQ337422			Aspergillus flavus			ENA			Aspergillus flavus strain NRRL 26640 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
GU076485			Aspergillus flavus			ENA			Aspergillus flavus isolate A2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
GU172440			Aspergillus flavus			ENA			Aspergillus flavus isolate UPM A8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
GU183163			Aspergillus flavus			HMM			Aspergillus flavus isolate Type_E_1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
GU183169			Aspergillus flavus			HMM			Aspergillus flavus isolate HF5 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
GU256760			Aspergillus flavus			ENA			Aspergillus flavus strain ATCC 11497 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
GU565573			Aspergillus flavus			ENA			Aspergillus flavus strain CPRI18 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
GU565573			Aspergillus flavus			HMM			Aspergillus flavus strain CPRI18 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
GU966494			Aspergillus flavus			HMM			Aspergillus flavus strain AX05 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM016881			Aspergillus flavus			HMM			Aspergillus flavus strain 32-1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM016884			Aspergillus flavus			HMM			Aspergillus flavus strain 36 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM016887			Aspergillus flavus			HMM			Aspergillus flavus strain 62 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM167488			Aspergillus flavus			HMM			Aspergillus flavus strain SAF9-B3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM167489			Aspergillus flavus			HMM			Aspergillus flavus strain SAF10-B4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM167492			Aspergillus flavus			HMM			Aspergillus flavus strain F34-A4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM167498			Aspergillus flavus			HMM			Aspergillus flavus strain HT4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM222933			Aspergillus flavus			ENA			Aspergillus flavus isolate NJP08 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM560050			Aspergillus flavus			ENA			Aspergillus flavus strain LEMI 151 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM560051			Aspergillus flavus			ENA			Aspergillus flavus strain LEMI 166 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM560052			Aspergillus flavus			ENA			Aspergillus flavus strain LEMI 201 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM560053			Aspergillus flavus			ENA			Aspergillus flavus strain LEMI 159IOP internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HM560055			Aspergillus flavus			ENA			Aspergillus flavus strain CBS 100927 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
HM991281			Aspergillus flavus			HMM			Aspergillus flavus strain B-15 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ010119			Aspergillus flavus			ENA			Aspergillus flavus strain MSSRF-IS2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ014700			Aspergillus flavus			HMM			Aspergillus flavus strain WM10.80 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ014701			Aspergillus flavus			HMM			Aspergillus flavus strain WM10.81 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
HQ014702			Aspergillus flavus			HMM			Aspergillus flavus strain WM10.82 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ014703			Aspergillus flavus			HMM			Aspergillus flavus strain WM10.83 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ026738			Aspergillus flavus			ENA			Aspergillus flavus strain ATCC 9643 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ026744			Aspergillus flavus			ENA			Aspergillus flavus strain ATCC 204304 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
HQ026744			Aspergillus flavus			HMM			Aspergillus flavus strain ATCC 204304 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
HQ285536			Aspergillus flavus			HMM			Aspergillus flavus strain CA-A4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ285572			Aspergillus flavus			HMM			Aspergillus flavus strain SEJ-A3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ285577			Aspergillus flavus			HMM			Aspergillus flavus strain SN-A3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ288050			Aspergillus flavus			ENA			Aspergillus flavus strain NRRL 32354 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340101			Aspergillus flavus			ENA			Aspergillus flavus culture-collection MUM:10.200 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340101			Aspergillus flavus			HMM			Aspergillus flavus culture-collection MUM:10.200 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340103			Aspergillus flavus			ENA			Aspergillus flavus culture-collection MUM:10.202 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340103			Aspergillus flavus			HMM			Aspergillus flavus culture-collection MUM:10.202 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340104			Aspergillus flavus			ENA			Aspergillus flavus culture-collection MUM:10.204 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340104			Aspergillus flavus			HMM			Aspergillus flavus culture-collection MUM:10.204 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340106			Aspergillus flavus			ENA			Aspergillus flavus culture-collection MUM:10.206 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340106			Aspergillus flavus			HMM			Aspergillus flavus culture-collection MUM:10.206 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340107			Aspergillus flavus			ENA			Aspergillus flavus culture-collection MUM:10.209 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340107			Aspergillus flavus			HMM			Aspergillus flavus culture-collection MUM:10.209 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340108			Aspergillus flavus			ENA			Aspergillus flavus culture-collection MUM:10.220 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340108			Aspergillus flavus			HMM			Aspergillus flavus culture-collection MUM:10.220 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340109			Aspergillus flavus			ENA			Aspergillus flavus culture-collection NRRL:6412 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ340109			Aspergillus flavus			HMM			Aspergillus flavus culture-collection NRRL:6412 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ395774			Aspergillus flavus			ENA			Aspergillus flavus isolate V5F-13 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ395774			Aspergillus flavus			HMM			Aspergillus flavus isolate V5F-13 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ400610			Aspergillus flavus			HMM			Aspergillus flavus strain YLF-14 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ589228			Aspergillus flavus			ENA			Aspergillus flavus isolate Hawk Moth 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ607957			Aspergillus flavus			HMM			Aspergillus flavus isolate CY103 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ620618			Aspergillus flavus			ENA			Aspergillus flavus strain A5P1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ693703			Aspergillus flavus			ENA			Aspergillus flavus strain 6830 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ844685			Aspergillus flavus			HMM			Aspergillus flavus strain MB11 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ844695			Aspergillus flavus			HMM			Aspergillus flavus strain MB21 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ856223			Aspergillus flavus			ENA			Aspergillus flavus strain NRRL 21882 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
HQ891658			Aspergillus flavus			ENA			Aspergillus flavus strain AL2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JF412782			Aspergillus flavus			ENA			Aspergillus flavus isolate CS1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JF412783			Aspergillus flavus			ENA			Aspergillus flavus isolate CS12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JF681301			Aspergillus flavus			ENA			Aspergillus flavus isolate CZR-2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JF754467			Aspergillus flavus			ENA			Aspergillus flavus strain Asfl-1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JF770436			Aspergillus flavus			ENA			Aspergillus flavus isolate AJP02 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
